v_alpha, I_out_I
0.289000, 199.579576
0.290000, 199.576663
0.291000, 199.573739
0.292000, 199.570806
0.293000, 199.567862
0.294000, 199.564908
0.295000, 199.561945
0.296000, 199.558971
0.297000, 199.555987
0.298000, 199.552993
0.299000, 199.549989
0.300000, 199.546975
0.301000, 199.543951
0.302000, 199.540917
0.303000, 199.537873
0.304000, 199.534819
0.305000, 199.531754
0.306000, 199.528680
0.307000, 199.525596
0.308000, 199.522501
0.309000, 199.519397
0.310000, 199.516282
0.311000, 199.513158
0.312000, 199.510023
0.313000, 199.506879
0.314000, 199.503724
0.315000, 199.500559
0.316000, 199.497385
0.317000, 199.494200
0.318000, 199.491005
0.319000, 199.487800
0.320000, 199.484585
0.321000, 199.481360
0.322000, 199.478125
0.323000, 199.474880
0.324000, 199.471625
0.325000, 199.468360
0.326000, 199.465084
0.327000, 199.461799
0.328000, 199.458504
0.329000, 199.455199
0.330000, 199.451883
0.331000, 199.448558
0.332000, 199.445222
0.333000, 199.441877
0.334000, 199.438521
0.335000, 199.435156
0.336000, 199.431780
0.337000, 199.428394
0.338000, 199.424999
0.339000, 199.421593
0.340000, 199.418177
0.341000, 199.414751
0.342000, 199.411315
0.343000, 199.407869
0.344000, 199.404413
0.345000, 199.400947
0.346000, 199.397471
0.347000, 199.393985
0.348000, 199.390489
0.349000, 199.386983
0.350000, 199.383467
0.351000, 199.379940
0.352000, 199.376404
0.353000, 199.372858
0.354000, 199.369301
0.355000, 199.365735
0.356000, 199.362159
0.357000, 199.358572
0.358000, 199.354976
0.359000, 199.351369
0.360000, 199.347752
0.361000, 199.344126
0.362000, 199.340489
0.363000, 199.336842
0.364000, 199.333186
0.365000, 199.329519
0.366000, 199.325842
0.367000, 199.322155
0.368000, 199.318458
0.369000, 199.314751
0.370000, 199.311034
0.371000, 199.307307
0.372000, 199.303570
0.373000, 199.299823
0.374000, 199.296066
0.375000, 199.292299
0.376000, 199.288522
0.377000, 199.284734
0.378000, 199.280937
0.379000, 199.277130
0.380000, 199.273312
0.381000, 199.269485
0.382000, 199.265648
0.383000, 199.261800
0.384000, 199.257943
0.385000, 199.254075
0.386000, 199.250198
0.387000, 199.246310
0.388000, 199.242413
0.389000, 199.238505
0.390000, 199.234587
0.391000, 199.230660
0.392000, 199.226722
0.393000, 199.222774
0.394000, 199.218816
0.395000, 199.214848
0.396000, 199.210871
0.397000, 199.206883
0.398000, 199.202885
0.399000, 199.198877
0.400000, 199.194859
0.401000, 199.190831
0.402000, 199.186793
0.403000, 199.182745
0.404000, 199.178687
0.405000, 199.174618
0.406000, 199.170540
0.407000, 199.166452
0.408000, 199.162354
0.409000, 199.158246
0.410000, 199.154127
0.411000, 199.149999
0.412000, 199.145861
0.413000, 199.141712
0.414000, 199.137554
0.415000, 199.133385
0.416000, 199.129207
0.417000, 199.125019
0.418000, 199.120820
0.419000, 199.116611
0.420000, 199.112393
0.421000, 199.108164
0.422000, 199.103926
0.423000, 199.099677
0.424000, 199.095418
0.425000, 199.091150
0.426000, 199.086871
0.427000, 199.082582
0.428000, 199.078284
0.429000, 199.073975
0.430000, 199.069656
0.431000, 199.065327
0.432000, 199.060988
0.433000, 199.056639
0.434000, 199.052280
0.435000, 199.047912
0.436000, 199.043533
0.437000, 199.039144
0.438000, 199.034745
0.439000, 199.030336
0.440000, 199.025917
0.441000, 199.021487
0.442000, 199.017048
0.443000, 199.012599
0.444000, 199.008140
0.445000, 199.003671
0.446000, 198.999192
0.447000, 198.994703
0.448000, 198.990203
0.449000, 198.985694
0.450000, 198.981175
0.451000, 198.976646
0.452000, 198.972106
0.453000, 198.967557
0.454000, 198.962998
0.455000, 198.958428
0.456000, 198.953849
0.457000, 198.949260
0.458000, 198.944660
0.459000, 198.940051
0.460000, 198.935431
0.461000, 198.930802
0.462000, 198.926162
0.463000, 198.921513
0.464000, 198.916853
0.465000, 198.912184
0.466000, 198.907504
0.467000, 198.902815
0.468000, 198.898115
0.469000, 198.893406
0.470000, 198.888686
0.471000, 198.883956
0.472000, 198.879217
0.473000, 198.874467
0.474000, 198.869707
0.475000, 198.864938
0.476000, 198.860158
0.477000, 198.855368
0.478000, 198.850569
0.479000, 198.845759
0.480000, 198.840939
0.481000, 198.836109
0.482000, 198.831270
0.483000, 198.826420
0.484000, 198.821560
0.485000, 198.816690
0.486000, 198.811810
0.487000, 198.806921
0.488000, 198.802021
0.489000, 198.797111
0.490000, 198.792191
0.491000, 198.787261
0.492000, 198.782321
0.493000, 198.777371
0.494000, 198.772412
0.495000, 198.767442
0.496000, 198.762462
0.497000, 198.757472
0.498000, 198.752472
0.499000, 198.747462
0.500000, 198.742442
0.501000, 198.737412
0.502000, 198.732372
0.503000, 198.727322
0.504000, 198.722262
0.505000, 198.717192
0.506000, 198.712112
0.507000, 198.707022
0.508000, 198.701922
0.509000, 198.696812
0.510000, 198.691692
0.511000, 198.686562
0.512000, 198.681422
0.513000, 198.676272
0.514000, 198.671112
0.515000, 198.665942
0.516000, 198.660762
0.517000, 198.655572
0.518000, 198.650372
0.519000, 198.645162
0.520000, 198.639942
0.521000, 198.634712
0.522000, 198.629472
0.523000, 198.624222
0.524000, 198.618961
0.525000, 198.613691
0.526000, 198.608411
0.527000, 198.603121
0.528000, 198.597821
0.529000, 198.592511
0.530000, 198.587191
0.531000, 198.581861
0.532000, 198.576521
0.533000, 198.571171
0.534000, 198.565811
0.535000, 198.560441
0.536000, 198.555061
0.537000, 198.549671
0.538000, 198.544271
0.539000, 198.538860
0.540000, 198.533440
0.541000, 198.528010
0.542000, 198.522570
0.543000, 198.517120
0.544000, 198.511660
0.545000, 198.506190
0.546000, 198.500710
0.547000, 198.495220
0.548000, 198.489720
0.549000, 198.484210
0.550000, 198.478690
0.551000, 198.473160
0.552000, 198.467620
0.553000, 198.462070
0.554000, 198.456510
0.555000, 198.450940
0.556000, 198.445360
0.557000, 198.439770
0.558000, 198.434170
0.559000, 198.428560
0.560000, 198.422940
0.561000, 198.417310
0.562000, 198.411670
0.563000, 198.406020
0.564000, 198.400361
0.565000, 198.394691
0.566000, 198.389011
0.567000, 198.383321
0.568000, 198.377621
0.569000, 198.371911
0.570000, 198.366191
0.571000, 198.360461
0.572000, 198.354722
0.573000, 198.348972
0.574000, 198.343212
0.575000, 198.337442
0.576000, 198.331662
0.577000, 198.325873
0.578000, 198.320073
0.579000, 198.314263
0.580000, 198.308443
0.581000, 198.302614
0.582000, 198.296774
0.583000, 198.290924
0.584000, 198.285065
0.585000, 198.279195
0.586000, 198.273315
0.587000, 198.267426
0.588000, 198.261526
0.589000, 198.255617
0.590000, 198.249697
0.591000, 198.243768
0.592000, 198.237828
0.593000, 198.231878
0.594000, 198.225919
0.595000, 198.219949
0.596000, 198.213970
0.597000, 198.207981
0.598000, 198.201981
0.599000, 198.195972
0.600000, 198.189952
0.601000, 198.183923
0.602000, 198.177884
0.603000, 198.171834
0.604000, 198.165775
0.605000, 198.159706
0.606000, 198.153626
0.607000, 198.147537
0.608000, 198.141438
0.609000, 198.135329
0.610000, 198.129210
0.611000, 198.123081
0.612000, 198.116941
0.613000, 198.110792
0.614000, 198.104633
0.615000, 198.098464
0.616000, 198.092285
0.617000, 198.086096
0.618000, 198.079897
0.619000, 198.073688
0.620000, 198.067469
0.621000, 198.061240
0.622000, 198.055002
0.623000, 198.048753
0.624000, 198.042494
0.625000, 198.036225
0.626000, 198.029946
0.627000, 198.023658
0.628000, 198.017359
0.629000, 198.011050
0.630000, 198.004732
0.631000, 197.998403
0.632000, 197.992064
0.633000, 197.985716
0.634000, 197.979357
0.635000, 197.972989
0.636000, 197.966610
0.637000, 197.960222
0.638000, 197.953823
0.639000, 197.947415
0.640000, 197.940997
0.641000, 197.934568
0.642000, 197.928130
0.643000, 197.921682
0.644000, 197.915224
0.645000, 197.908756
0.646000, 197.902277
0.647000, 197.895789
0.648000, 197.889291
0.649000, 197.882783
0.650000, 197.876265
0.651000, 197.869737
0.652000, 197.863199
0.653000, 197.856651
0.654000, 197.850094
0.655000, 197.843526
0.656000, 197.836948
0.657000, 197.830360
0.658000, 197.823763
0.659000, 197.817155
0.660000, 197.810537
0.661000, 197.803910
0.662000, 197.797272
0.663000, 197.790625
0.664000, 197.783967
0.665000, 197.777300
0.666000, 197.770622
0.667000, 197.763935
0.668000, 197.757238
0.669000, 197.750530
0.670000, 197.743813
0.671000, 197.737086
0.672000, 197.730349
0.673000, 197.723602
0.674000, 197.716845
0.675000, 197.710078
0.676000, 197.703301
0.677000, 197.696514
0.678000, 197.689717
0.679000, 197.682910
0.680000, 197.676093
0.681000, 197.669267
0.682000, 197.662430
0.683000, 197.655583
0.684000, 197.648727
0.685000, 197.641860
0.686000, 197.634984
0.687000, 197.628097
0.688000, 197.621201
0.689000, 197.614295
0.690000, 197.607378
0.691000, 197.600452
0.692000, 197.593516
0.693000, 197.586570
0.694000, 197.579614
0.695000, 197.572648
0.696000, 197.565672
0.697000, 197.558686
0.698000, 197.551690
0.699000, 197.544684
0.700000, 197.537668
0.701000, 197.530642
0.702000, 197.523607
0.703000, 197.516561
0.704000, 197.509505
0.705000, 197.502440
0.706000, 197.495365
0.707000, 197.488279
0.708000, 197.481184
0.709000, 197.474078
0.710000, 197.466963
0.711000, 197.459838
0.712000, 197.452703
0.713000, 197.445558
0.714000, 197.438403
0.715000, 197.431238
0.716000, 197.424063
0.717000, 197.416878
0.718000, 197.409683
0.719000, 197.402479
0.720000, 197.395264
0.721000, 197.388039
0.722000, 197.380805
0.723000, 197.373560
0.724000, 197.366306
0.725000, 197.359042
0.726000, 197.351767
0.727000, 197.344483
0.728000, 197.337189
0.729000, 197.329885
0.730000, 197.322571
0.731000, 197.315247
0.732000, 197.307913
0.733000, 197.300569
0.734000, 197.293215
0.735000, 197.285851
0.736000, 197.278478
0.737000, 197.271094
0.738000, 197.263701
0.739000, 197.256297
0.740000, 197.248884
0.741000, 197.241460
0.742000, 197.234027
0.743000, 197.226584
0.744000, 197.219131
0.745000, 197.211668
0.746000, 197.204195
0.747000, 197.196712
0.748000, 197.189219
0.749000, 197.181716
0.750000, 197.174204
0.751000, 197.166681
0.752000, 197.159149
0.753000, 197.151606
0.754000, 197.144054
0.755000, 197.136491
0.756000, 197.128919
0.757000, 197.121337
0.758000, 197.113745
0.759000, 197.106143
0.760000, 197.098531
0.761000, 197.090909
0.762000, 197.083277
0.763000, 197.075635
0.764000, 197.067984
0.765000, 197.060322
0.766000, 197.052650
0.767000, 197.044969
0.768000, 197.037278
0.769000, 197.029576
0.770000, 197.021865
0.771000, 197.014144
0.772000, 197.006413
0.773000, 196.998672
0.774000, 196.990921
0.775000, 196.983160
0.776000, 196.975390
0.777000, 196.967609
0.778000, 196.959819
0.779000, 196.952018
0.780000, 196.944208
0.781000, 196.936387
0.782000, 196.928557
0.783000, 196.920717
0.784000, 196.912867
0.785000, 196.905007
0.786000, 196.897137
0.787000, 196.889257
0.788000, 196.881368
0.789000, 196.873468
0.790000, 196.865558
0.791000, 196.857639
0.792000, 196.849710
0.793000, 196.841770
0.794000, 196.833821
0.795000, 196.825862
0.796000, 196.817893
0.797000, 196.809914
0.798000, 196.801925
0.799000, 196.793926
0.800000, 196.785918
0.801000, 196.777899
0.802000, 196.769871
0.803000, 196.761832
0.804000, 196.753784
0.805000, 196.745726
0.806000, 196.737658
0.807000, 196.729580
0.808000, 196.721492
0.809000, 196.713394
0.810000, 196.705286
0.811000, 196.697169
0.812000, 196.689041
0.813000, 196.680904
0.814000, 196.672756
0.815000, 196.664599
0.816000, 196.656432
0.817000, 196.648255
0.818000, 196.640068
0.819000, 196.631871
0.820000, 196.623664
0.821000, 196.615447
0.822000, 196.607221
0.823000, 196.598984
0.824000, 196.590738
0.825000, 196.582482
0.826000, 196.574216
0.827000, 196.565940
0.828000, 196.557654
0.829000, 196.549358
0.830000, 196.541052
0.831000, 196.532736
0.832000, 196.524411
0.833000, 196.516075
0.834000, 196.507730
0.835000, 196.499375
0.836000, 196.491010
0.837000, 196.482635
0.838000, 196.474250
0.839000, 196.465855
0.840000, 196.457450
0.841000, 196.449036
0.842000, 196.440611
0.843000, 196.432177
0.844000, 196.423732
0.845000, 196.415278
0.846000, 196.406814
0.847000, 196.398340
0.848000, 196.389856
0.849000, 196.381363
0.850000, 196.372859
0.851000, 196.364346
0.852000, 196.355822
0.853000, 196.347289
0.854000, 196.338746
0.855000, 196.330193
0.856000, 196.321630
0.857000, 196.313057
0.858000, 196.304474
0.859000, 196.295882
0.860000, 196.287279
0.861000, 196.278667
0.862000, 196.270045
0.863000, 196.261412
