X,CH1,CH2,CH3,Start,Increment,
Sequence,Volt,Volt,Volt,-1.200000e-03,2.000000e-06
114,8.80e+00,3.00e-01,1.36e+02,
115,1.00e+01,2.20e-01,1.44e+02,
116,9.20e+00,2.40e-01,1.36e+02,
117,1.00e+01,1.80e-01,1.48e+02,
118,9.60e+00,2.00e-01,1.48e+02,
119,1.00e+01,1.00e-01,1.40e+02,
120,9.60e+00,1.40e-01,1.44e+02,
121,1.04e+01,6.00e-02,1.52e+02,
122,1.04e+01,1.00e-01,1.48e+02,
123,1.00e+01,4.00e-02,1.60e+02,
124,1.00e+01,6.00e-02,1.56e+02,
125,1.12e+01,0.00e+00,1.60e+02,
126,1.04e+01,4.00e-02,1.56e+02,
127,1.12e+01,-2.00e-02,1.64e+02,
128,1.08e+01,-2.00e-02,1.60e+02,
129,1.16e+01,2.00e-02,1.68e+02,
130,1.08e+01,2.00e-02,1.64e+02,
131,1.16e+01,-2.00e-02,1.72e+02,
132,1.16e+01,-2.00e-02,1.68e+02,
133,1.12e+01,2.00e-02,1.76e+02,
134,1.12e+01,-2.00e-02,1.76e+02,
135,1.24e+01,6.00e-02,1.68e+02,
136,1.16e+01,2.00e-02,1.72e+02,
137,1.24e+01,8.00e-02,1.84e+02,
138,1.20e+01,4.00e-02,1.80e+02,
139,1.28e+01,1.00e-01,1.88e+02,
140,1.28e+01,8.00e-02,1.88e+02,
141,1.20e+01,1.40e-01,1.84e+02,
142,1.28e+01,1.20e-01,1.84e+02,
143,1.24e+01,2.00e-01,1.92e+02,
144,1.24e+01,1.80e-01,1.88e+02,
145,1.36e+01,2.60e-01,1.96e+02,
146,1.24e+01,2.40e-01,1.92e+02,
147,1.36e+01,3.40e-01,2.00e+02,
148,1.32e+01,3.00e-01,2.00e+02,
149,1.40e+01,4.00e-01,2.04e+02,
150,1.40e+01,3.80e-01,2.00e+02,
151,1.32e+01,4.80e-01,2.08e+02,
152,1.36e+01,4.60e-01,2.04e+02,
